POD	eigenval	sigma	acc_eigenval	part_E	acc_part_E
171	5.053475e-12	2.248025e-06	6.715e+05	7.525e-18	1.000000
172	5.053475e-12	2.248025e-06	6.715e+05	7.525e-18	1.000000
173	5.050283e-12	2.247336e-06	6.715e+05	7.521e-18	1.000000
174	5.050283e-12	2.247336e-06	6.715e+05	7.521e-18	1.000000
175	5.041513e-12	2.245916e-06	6.715e+05	7.508e-18	1.000000
176	5.041513e-12	2.245916e-06	6.715e+05	7.508e-18	1.000000
177	5.041457e-12	2.245505e-06	6.715e+05	7.507e-18	1.000000
178	5.041457e-12	2.245505e-06	6.715e+05	7.507e-18	1.000000
179	5.035770e-12	2.245331e-06	6.715e+05	7.499e-18	1.000000
180	5.035770e-12	2.245331e-06	6.715e+05	7.499e-18	1.000000
181	5.015867e-12	2.239624e-06	6.715e+05	7.469e-18	1.000000
182	5.015867e-12	2.239624e-06	6.715e+05	7.469e-18	1.000000
183	5.014614e-12	2.239542e-06	6.715e+05	7.467e-18	1.000000
184	5.014614e-12	2.239542e-06	6.715e+05	7.467e-18	1.000000
185	5.012062e-12	2.240464e-06	6.715e+05	7.464e-18	1.000000
186	5.012062e-12	2.240464e-06	6.715e+05	7.464e-18	1.000000
187	5.009176e-12	2.238479e-06	6.715e+05	7.459e-18	1.000000
188	5.009176e-12	2.238479e-06	6.715e+05	7.459e-18	1.000000
189	5.004354e-12	2.237081e-06	6.715e+05	7.452e-18	1.000000
190	5.004354e-12	2.237081e-06	6.715e+05	7.452e-18	1.000000
191	4.997676e-12	2.235548e-06	6.715e+05	7.442e-18	1.000000
192	4.988467e-12	2.235842e-06	6.715e+05	7.429e-18	1.000000
193	4.988467e-12	2.235842e-06	6.715e+05	7.429e-18	1.000000
194	4.982856e-12	2.233736e-06	6.715e+05	7.420e-18	1.000000
195	4.982856e-12	2.233736e-06	6.715e+05	7.420e-18	1.000000
196	4.976845e-12	2.230908e-06	6.715e+05	7.411e-18	1.000000
197	4.976845e-12	2.230908e-06	6.715e+05	7.411e-18	1.000000
198	4.976194e-12	2.231701e-06	6.715e+05	7.410e-18	1.000000
199	4.976194e-12	2.231701e-06	6.715e+05	7.410e-18	1.000000
200	4.973277e-12	2.230230e-06	6.715e+05	7.406e-18	1.000000
201	4.973277e-12	2.230230e-06	6.715e+05	7.406e-18	1.000000
202	4.966571e-12	2.229047e-06	6.715e+05	7.396e-18	1.000000
203	4.966571e-12	2.229047e-06	6.715e+05	7.396e-18	1.000000
204	4.964867e-12	2.228962e-06	6.715e+05	7.393e-18	1.000000
205	4.964867e-12	2.228962e-06	6.715e+05	7.393e-18	1.000000
206	4.957578e-12	2.226613e-06	6.715e+05	7.383e-18	1.000000
207	4.957578e-12	2.226613e-06	6.715e+05	7.383e-18	1.000000
208	4.954223e-12	2.226983e-06	6.715e+05	7.378e-18	1.000000
209	4.954223e-12	2.226983e-06	6.715e+05	7.378e-18	1.000000
210	4.948673e-12	2.224561e-06	6.715e+05	7.369e-18	1.000000
211	4.943316e-12	2.225400e-06	6.715e+05	7.361e-18	1.000000
212	4.943316e-12	2.225400e-06	6.715e+05	7.361e-18	1.000000
213	4.942637e-12	2.223601e-06	6.715e+05	7.360e-18	1.000000
214	4.942637e-12	2.223601e-06	6.715e+05	7.360e-18	1.000000
